# row label	column	Greek	English
# column 1..6 = nominative/accusative/genitive singular, then plural
# consumed by build.py -> hover balloons on the master grid (HTML only)
N2 · -ι	3	Τα παιχνίδια του παιδιού είναι εδώ.	The child's toys are here.
N2 · -ι	4	Τα παιδιά τρέχουν στο πάρκο.	The children are running in the park.
N2 · -ι	5	Πήρα τα παιδιά από το σχολείο.	I picked the children up from school.
N2 · -ι	6	Η μητέρα των παιδιών δουλεύει.	The children's mother works.
N3 · -μα	1	Το μάθημα αρχίζει στις εννιά.	The lesson starts at nine.
N3 · -μα	2	Έχασα το μάθημα χθές.	I missed the lesson yesterday.
N3 · -μα	3	Το θέμα του μαθήματος ήταν δύσκολο.	The topic of the lesson was hard.
N3 · -μα	4	Τα μαθήματα τελειώνουν στις δύο.	The lessons finish at two.
N3 · -μα	5	Ετοιμάζω τα μαθήματά μου.	I'm preparing my lessons.
N3 · -μα	6	Το πρόγραμμα των μαθημάτων άλλαξε.	The timetable of the lessons changed.
N4 · -ος	1	Το λάθος ήταν δικό μου.	The mistake was mine.
N4 · -ος	2	Βρήκα το λάθος αμέσως.	I found the mistake at once.
N4 · -ος	3	Η αιτία του λάθους ήταν η βιασύνη.	The cause of the mistake was haste.
N4 · -ος	4	Τα λάθη είναι φυσιολογικά.	Mistakes are normal.
N4 · -ος	5	Διόρθωσα όλα τα λάθη μου.	I corrected all my mistakes.
N4 · -ος	6	Ο αριθμός των λαθών μειώθηκε.	The number of mistakes went down.
